POÇO ANP;BLOCO;BACIA;BACIAS AGRUPADAS;ESTADO;AMBIENTE;OPERADOR;INÍCIO DA PERFURAÇÃO;CONCLUSÃO DO POÇO;PROFUNDIDADE FINAL (m);ATINGIU PRÉ-SAL?;NOTIFICAÇÃO DE DESCOBERTA ?;DATA DA 1ª DESCOBERTA;FLUIDO NOTIFICAÇÃO DESCOBERTA
3-BRSA-1023-SPS;LPA;Santos;Margem Leste;SP;MAR;Petrobras;15/12/2011;26/02/2012;5600;Sim;Sim;17/02/2012;Petróleo
3-OGX-72-RJS;C-M-592;Campos;Margem Leste;RJ;MAR;PRIO;19/01/2012;05/03/2012;3127;Não;Sim;08/02/2012;Petróleo
1-REPF-12D-RJS;C-M-539;Campos;Margem Leste;RJ;MAR;Repsol Sinopec;09/08/2011;08/03/2012;7151;Sim;Sim;05/12/2011;Petróleo
1-BRSA-1055-RN;POT-T-600;Potiguar;Maduras;RN;TERRA;Petrobras;25/02/2012;11/03/2012;1023;Não;Não;;
1-BP-6-RJS;C-M-473;Campos;Margem Leste;RJ;MAR;BP Energy;07/01/2012;12/03/2012;5933;Não;Não;;
1-BRSA-1041D-AL;SEAL-T-252;Alagoas;Maduras;AL;TERRA;Petrobras;27/01/2012;15/03/2012;1306;Não;Não;;
1-BRSA-997-APS;FZA-M-252;Foz do Amazonas;Margem Equatorial;AP;MAR;Petrobras;15/10/2011;15/03/2012;2377;Não;Não;;
1-BRSA-1044-RN;POT-T-564;Potiguar;Maduras;RN;TERRA;Petrobras;05/02/2012;24/03/2012;2004;Não;Sim;19/03/2012;Petróleo
1-STAR-26-BA;REC-T-166;Recôncavo;Maduras;BA;TERRA;SHB;24/01/2012;25/03/2012;2698;Não;Sim;25/02/2012;Gás
1-BRSA-1025-RN;POT-T-699;Potiguar;Maduras;RN;TERRA;Petrobras;15/12/2011;28/03/2012;1756;Não;Sim;05/01/2012;Petróleo
1-PTRA-4-MG;SF-T-137;São Francisco;Nova Fronteira;MG;TERRA;Petra Energia;29/12/2011;28/03/2012;2354;Não;Sim;29/02/2012;Gás
6-STAR-24P-RJS;C-M-622;Campos;Margem Leste;RJ;MAR;SHB;11/11/2011;28/03/2012;5568;Sim;Sim;24/11/2011;Gás e Petróleo
1-BRSA-1048-RN;POT-T-564;Potiguar;Maduras;RN;TERRA;Petrobras;11/02/2012;01/04/2012;2246;Não;Não;;
1-BRSA-1056-BA;REC-T-235;Recôncavo;Maduras;BA;TERRA;Petrobras;02/03/2012;02/04/2012;1473;Não;Sim;14/03/2012;Petróleo
3-OGX-76-RJS;C-M-499;Campos;Margem Leste;RJ;MAR;PRIO;10/03/2012;07/04/2012;2482;Não;Sim;18/04/2012;Petróleo
6-STAR-25P-RJS;S-M-225;Santos;Margem Leste;RJ;MAR;SHB;23/01/2012;09/04/2012;5538;Sim;Não;;
