POÇO ANP;BLOCO;BACIA;BACIAS AGRUPADAS;ESTADO;AMBIENTE;OPERADOR;INÍCIO DA PERFURAÇÃO;CONCLUSÃO DO POÇO;PROFUNDIDADE FINAL (m);ATINGIU PRÉ-SAL?;NOTIFICAÇÃO DE DESCOBERTA ?;DATA DA 1ª DESCOBERTA;FLUIDO NOTIFICAÇÃO DESCOBERTA
4-BRSA-334D-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;27/01/2005;29/01/2005;393;Não;Não;;
1-POTI-1D-RN;BT-POT-10;Potiguar;Maduras;RN;TERRA;Potióleo;13/01/2005;31/01/2005;1730;Não;Sim;29/01/2005;Petróleo
1-BRSA-320-RN;PTS;Potiguar;Maduras;RN;TERRA;Petrobras;11/11/2004;01/02/2005;1680;Não;Sim;29/11/2004;Petróleo
1-DEV-6-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;28/12/2004;02/02/2005;2433;Não;Sim;13/01/2005;Petróleo
4-BRSA-314-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;26/10/2004;02/02/2005;5390;Não;Não;;
1-MPE-5DP-BA;BT-REC-3;Recôncavo;Maduras;BA;TERRA;Marítima;04/03/2004;03/02/2005;2137;Não;Sim;24/03/2004;Petróleo
1-BRSA-313D-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;26/10/2004;06/02/2005;2715;Não;Sim;05/11/2004;Petróleo
3-BRSA-335HP-ES;BT-ES-12;Espírito Santo;Maduras;ES;TERRA;Petrobras;30/01/2005;07/02/2005;1344;Não;Não;;
3-BRSA-325-RJS;BC-20;Campos;Margem Leste;RJ;MAR;Petrobras;18/12/2004;26/02/2005;3525;Não;Sim;14/01/2005;Petróleo
3-BRSA-293D-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;06/08/2004;28/02/2005;5288;Não;Sim;18/11/2004;Gás
3-BRSA-337-RJS;BC-50;Campos;Margem Leste;RJ;MAR;Petrobras;09/02/2005;11/03/2005;3343;Não;Não;;
3-BRSA-331-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;03/01/2005;15/03/2005;4801;Não;Sim;19/02/2005;Gás e Petróleo
3-BRSA-339-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;03/03/2005;21/03/2005;2950;Não;Sim;17/03/2005;Petróleo
3-DEV-7-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;10/02/2005;24/03/2005;2205;Não;Sim;22/02/2005;Petróleo
4-BRSA-312-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;16/10/2004;26/03/2005;5218;Não;Sim;12/12/2004;Petróleo
3-AURI-7-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;17/03/2005;04/04/2005;1955;Não;Sim;02/04/2005;Gás e Petróleo
1-REV-1-BA;BT-REC-10;Recôncavo;Maduras;BA;TERRA;Recôncavo E&P;06/01/2005;05/04/2005;1601;Não;Não;;
1-BRSA-295D-RN;BT-POT-8;Potiguar;Maduras;RN;TERRA;Petrobras;18/08/2004;24/04/2005;4206;Não;Sim;28/10/2004;Gás
3-AURI-8-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;10/04/2005;02/05/2005;2062;Não;Sim;25/04/2005;Petróleo
1-MPE-8-RN;BT-POT-3;Potiguar;Maduras;RN;TERRA;Marítima;08/04/2005;09/05/2005;1563;Não;Sim;25/04/2005;Petróleo
1-WINT-2-RJS;BM-S-14;Santos;Margem Leste;RJ;MAR;Wintershall BM-S-14;30/03/2005;12/05/2005;3706;Não;Não;;
3-AURI-9-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;06/05/2005;18/05/2005;1875;Não;Sim;17/05/2005;Petróleo
3-BRSA-342-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;25/03/2005;01/06/2005;4045;Não;Sim;19/04/2005;Petróleo
1-ENI-4-RJS;BM-S-4;Santos;Margem Leste;RJ;MAR;Eni Oil;14/05/2005;04/06/2005;1128;Não;Não;;
3-AURI-10-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;30/05/2005;11/06/2005;1916;Não;Não;;
1-BRSA-344-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;30/03/2005;13/06/2005;3717;Não;Sim;21/04/2005;Petróleo
3-PSY-2-RN;BT-POT-5;Potiguar;Maduras;RN;TERRA;Petrosynergy;20/05/2005;24/06/2005;1075;Não;Sim;23/06/2005;Petróleo
3-AURI-11-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;17/06/2005;05/07/2005;2026;Não;Sim;03/07/2005;Petróleo
1-BRSA-354-RN;BT-POT-9;Potiguar;Maduras;RN;TERRA;Petrobras;23/06/2005;07/07/2005;1437;Não;Não;;
1-CHEV-2-SPS;BM-S-7;Santos;Margem Leste;SP;MAR;Chevron Brasileira;23/05/2005;31/07/2005;4200;Não;Não;;
1-AURI-12-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;13/07/2005;01/08/2005;2150;Não;Não;;
1-BRSA-358-AM;BT-SOL-1;Solimões;Nova Fronteira;AM;TERRA;Petrobras;19/07/2005;26/08/2005;2000;Não;Não;;
3-ENC-3-RJS;BM-C-7;Campos;Margem Leste;RJ;MAR;IBV Brasil Petróleo;05/08/2005;19/09/2005;2332;Não;Sim;20/08/2005;Petróleo
3-BRSA-353-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;08/06/2005;20/09/2005;4861;Sim;Sim;02/08/2005;Petróleo
3-BRSA-364D-ES;BT-ES-12;Espírito Santo;Maduras;ES;TERRA;Petrobras;12/09/2005;23/09/2005;1357;Não;Sim;22/09/2005;Petróleo
1-BRSA-366-RN;POT-T-575;Potiguar;Maduras;RN;TERRA;Petrobras;20/09/2005;26/09/2005;487;Não;Não;;
1-BRSA-369-RJS;BM-S-11;Santos;Margem Leste;RJ;MAR;Petrobras;26/09/2005;29/09/2005;3334;Não;Não;;
1-PTX-4-RN;POT-T-512;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;26/09/2005;03/10/2005;405;Não;Não;;
3-BRSA-347-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;30/04/2005;03/10/2005;5617;Não;Sim;02/08/2005;Gás
1-BRSA-370-ES;ES-T-486;Espírito Santo;Maduras;ES;TERRA;Petrobras;29/09/2005;11/10/2005;1355;Não;Sim;10/10/2005;Petróleo
3-ENC-4-RJS;BM-C-7;Campos;Margem Leste;RJ;MAR;IBV Brasil Petróleo;20/09/2005;12/10/2005;2345;Não;Sim;06/10/2005;Petróleo
1-BRSA-361D-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;25/08/2005;14/10/2005;2902;Não;Não;;
3-SHEL-17-ESS;BC-10;Campos;Margem Leste;ES;MAR;Shell;09/09/2005;17/10/2005;3763;Não;Sim;25/09/2005;Petróleo
1-PTX-3-RN;POT-T-558;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;12/09/2005;18/10/2005;414;Não;Sim;22/09/2005;Petróleo
3-BRSA-360-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;09/08/2005;20/10/2005;4750;Não;Sim;16/09/2005;Gás
1-BRSA-362-RN;POT-T-257;Potiguar;Maduras;RN;TERRA;Petrobras;04/09/2005;26/10/2005;1050;Não;Sim;14/09/2005;Petróleo
3-BRSA-341-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;17/03/2005;27/10/2005;6621;Sim;Sim;08/05/2005;Gás
3-BRSA-371-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;05/10/2005;05/11/2005;4300;Não;Não;;
1-BRSA-359-RN;POT-T-391;Potiguar;Maduras;RN;TERRA;Petrobras;06/08/2005;06/11/2005;2622;Não;Não;;
4-SHEL-18-ESS;BC-10;Campos;Margem Leste;ES;MAR;Shell;19/10/2005;16/11/2005;4160;Não;Sim;31/10/2005;Petróleo
1-PSY-3-RN;POT-T-353;Potiguar;Maduras;RN;TERRA;Petrosynergy;06/10/2005;18/11/2005;1880;Não;Sim;16/11/2005;Petróleo
3-BRSA-376-RJS;BC-20;Campos;Margem Leste;RJ;MAR;Petrobras;26/10/2005;22/11/2005;3540;Não;Não;;
1-BRSA-390D-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;26/11/2005;26/11/2005;1854;Não;Não;;
3-BRSA-383DP-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;07/11/2005;26/11/2005;4146;Não;Não;;
1-PSY-4-RN;POT-T-352;Potiguar;Maduras;RN;TERRA;Petrosynergy;20/11/2005;01/12/2005;1850;Não;Não;;
1-BRSA-355D-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;25/06/2005;03/12/2005;2645;Não;Sim;15/07/2005;Petróleo
3-BRSA-379-RJS;BC-20;Campos;Margem Leste;RJ;MAR;Petrobras;29/10/2005;04/12/2005;3491;Não;Sim;16/11/2005;Petróleo
1-MRK-1-SPS;BM-S-29;Santos;Margem Leste;SP;MAR;Maersk;17/10/2005;08/12/2005;3633;Não;Não;;
3-BRSA-385-RJS;BC-50;Campos;Margem Leste;RJ;MAR;Petrobras;17/11/2005;10/12/2005;2860;Não;Não;;
1-BRSA-372-AM;BT-SOL-1;Solimões;Nova Fronteira;AM;TERRA;Petrobras;12/10/2005;20/12/2005;2610;Não;Não;;
3-BRSA-387DP-RJS;BC-20;Campos;Margem Leste;RJ;MAR;Petrobras;22/11/2005;22/12/2005;3506;Não;Sim;08/12/2005;Petróleo
4-BRSA-380-RJS;BC-20;Campos;Margem Leste;RJ;MAR;Petrobras;29/10/2005;24/12/2005;3300;Não;Sim;16/11/2005;Petróleo
3-BRSA-374D-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;21/10/2005;25/12/2005;4459;Não;Não;;
1-BRSA-382D-RN;BT-POT-8;Potiguar;Maduras;RN;TERRA;Petrobras;06/11/2005;04/01/2006;3296;Não;Não;;
1-BRSA-96-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;23/07/2001;04/01/2006;1638;Não;Sim;05/08/2001;Gás e Petróleo
1-BRSA-378-BA;REC-T-41;Recôncavo;Maduras;BA;TERRA;Petrobras;29/10/2005;09/01/2006;580;Não;Sim;03/11/2005;Gás e Petróleo
3-BRSA-391-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;30/11/2005;12/01/2006;4157;Não;Sim;24/12/2005;Gás e Petróleo
1-BRSA-63-RN;BPOT-4;Potiguar;Maduras;RN;TERRA;Petrobras;18/04/2001;14/01/2006;2133;Não;Sim;15/05/2001;Gás
1-POTI-2-RN;BT-POT-10;Potiguar;Maduras;RN;TERRA;Potióleo;11/01/2006;19/01/2006;849;Não;Sim;19/01/2006;Gás e Petróleo
1-BRSA-397-RN;POT-T-791;Potiguar;Maduras;RN;TERRA;Petrobras;11/01/2006;22/01/2006;1060;Não;Não;;
1-POTI-4-RN;BT-POT-10;Potiguar;Maduras;RN;TERRA;Potióleo;27/01/2006;06/02/2006;533;Não;Sim;04/02/2006;Gás e Petróleo
4-BRSA-392-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;07/12/2005;09/02/2006;4011;Sim;Sim;06/02/2006;Não Caracterizado
1-POTI-3-RN;BT-POT-10;Potiguar;Maduras;RN;TERRA;Potióleo;17/01/2006;15/02/2006;600;Não;Sim;09/02/2006;Petróleo
3-BRSA-398-SPS;BS-400;Santos;Margem Leste;SP;MAR;Petrobras;16/01/2006;17/02/2006;4302;Não;Sim;17/02/2006;Gás e Petróleo
3-BRSA-404-ES;BT-ES-12;Espírito Santo;Maduras;ES;TERRA;Petrobras;22/02/2006;04/03/2006;876;Não;Sim;03/03/2006;Petróleo
4-AURI-15-RN;POT-T-302;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;12/02/2006;07/03/2006;2001;Não;Sim;04/03/2006;Gás e Petróleo
3-BRSA-405D-BA;REC-T-41;Recôncavo;Maduras;BA;TERRA;Petrobras;27/02/2006;09/03/2006;856;Não;Sim;07/04/2006;Gás e Petróleo
4-BRSA-406-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;02/03/2006;12/03/2006;2210;Não;Não;;
4-BRSA-403-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;11/02/2006;15/03/2006;3133;Sim;Sim;10/03/2006;Petróleo
3-BRSA-399-RN;PTS;Potiguar;Maduras;RN;TERRA;Petrobras;18/01/2006;04/04/2006;1712;Não;Sim;11/02/2006;Petróleo
1-BG-2DP-SPS;BM-S-13;Santos;Margem Leste;SP;MAR;BG Brasil;22/03/2006;07/04/2006;3193;Não;Não;;
3-BRSA-414DP-BA;REC-T-41;Recôncavo;Maduras;BA;TERRA;Petrobras;10/03/2006;11/04/2006;665;Não;Sim;19/03/2006;Gás e Petróleo
4-BRSA-413-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;17/03/2006;14/04/2006;3189;Não;Sim;09/04/2006;Gás e Petróleo
4-BRSA-408-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;05/03/2006;29/04/2006;5380;Sim;Não;;
4-BRSA-401-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;01/02/2006;01/05/2006;4021;Sim;Não;;
1-KMG-3-ESS;C-M-101;Campos;Margem Leste;ES;MAR;Kerr-McGee Brasil;12/04/2006;03/05/2006;3999;Não;Não;;
1-BRSA-418-ES;ES-T-496;Espírito Santo;Maduras;ES;TERRA;Petrobras;13/04/2006;09/05/2006;2473;Não;Não;;
1-BG-1-SPS;BM-S-13;Santos;Margem Leste;SP;MAR;BG Brasil;12/12/2005;15/05/2006;6300;Não;Sim;22/01/2006;Petróleo
1-DEV-8-ESS;C-M-61;Campos;Margem Leste;ES;MAR;BP Energy;06/05/2006;27/05/2006;4217;Não;Não;;
3-POTI-5-RN;BT-POT-10;Potiguar;Maduras;RN;TERRA;Potióleo;19/05/2006;03/06/2006;1400;Não;Sim;02/06/2006;Gás e Petróleo
3-BRSA-419-RJS;MRB;Campos;Margem Leste;RJ;MAR;Petrobras;04/05/2006;08/06/2006;3079;Não;Sim;31/05/2006;Gás e Petróleo
1-BRSA-424-ES;ES-T-506;Espírito Santo;Maduras;ES;TERRA;Petrobras;29/05/2006;10/06/2006;1666;Não;Sim;08/06/2006;Petróleo
3-BRSA-417-RJS;MRB;Campos;Margem Leste;RJ;MAR;Petrobras;09/04/2006;13/06/2006;3825;Não;Sim;09/06/2006;Gás e Petróleo
3-BRSA-415D-CES;BCE-5;Potiguar;Margem Equatorial;CE;MAR;Petrobras;23/03/2006;01/07/2006;3400;Não;Não;;
4-BRSA-411D-RN;BT-POT-8;Potiguar;Maduras;RN;TERRA;Petrobras;17/03/2006;07/07/2006;2145;Não;Sim;26/04/2006;Petróleo
4-BRSA-427-RJS;MRB;Campos;Margem Leste;RJ;MAR;Petrobras;14/06/2006;09/07/2006;3025;Não;Não;;
1-QTR-1-RN;POT-T-476;Potiguar;Maduras;RN;TERRA;Quantra;20/06/2006;13/07/2006;1958;Não;Sim;10/07/2006;Gás e Petróleo
1-BRSA-428-ES;ES-T-506;Espírito Santo;Maduras;ES;TERRA;Petrobras;03/07/2006;20/07/2006;1545;Não;Não;;
1-PSY-5-RN;POT-T-527;Potiguar;Maduras;RN;TERRA;Petrosynergy;06/07/2006;21/07/2006;831;Não;Sim;18/07/2006;Petróleo
3-SHEL-20HP-RJS;BS-4;Santos;Margem Leste;RJ;MAR;Shell;15/07/2006;25/07/2006;2542;Não;Não;;
1-BRSA-410D-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;17/03/2006;28/07/2006;3775;Não;Não;;
4-BRSA-429-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;30/06/2006;29/07/2006;3400;Não;Sim;22/07/2006;Gás e Petróleo
1-QTR-2-RN;POT-T-433;Potiguar;Maduras;RN;TERRA;Quantra;18/07/2006;08/08/2006;2404;Não;Não;;
4-BRSA-420-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;05/06/2006;08/08/2006;3412;Não;Sim;21/06/2006;Gás e Petróleo
1-PTX-5-RN;POT-T-513;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;09/08/2006;15/08/2006;599;Não;Sim;13/08/2006;Petróleo
4-BRSA-436-CE;BCE-5;Potiguar;Maduras;CE;TERRA;Petrobras;01/08/2006;17/08/2006;979;Não;Não;;
1-PSY-6-RN;POT-T-524;Potiguar;Maduras;RN;TERRA;Petrosynergy;31/07/2006;27/08/2006;1466;Não;Sim;24/08/2006;Petróleo
1-PTX-6-RN;POT-T-514;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;20/08/2006;27/08/2006;805;Não;Não;;
4-BRSA-431-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;08/07/2006;02/09/2006;4119;Não;Sim;27/08/2006;Petróleo
1-BRSA-440-BA;REC-T-42;Recôncavo;Maduras;BA;TERRA;Petrobras;21/08/2006;03/09/2006;1285;Não;Sim;01/09/2006;Petróleo
1-PTX-7-RN;POT-T-559;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;31/08/2006;03/09/2006;484;Não;Não;;
1-PTX-8-RN;POT-T-513;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;08/09/2006;12/09/2006;695;Não;Sim;11/09/2006;Gás e Petróleo
4-BRSA-444-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;03/09/2006;18/09/2006;2335;Não;Não;;
3-BRSA-438-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;10/08/2006;21/09/2006;3412;Não;Sim;04/09/2006;Gás e Petróleo
1-BRSA-441-RN;POT-T-563;Potiguar;Maduras;RN;TERRA;Petrobras;21/08/2006;24/09/2006;1671;Não;Não;;
3-BRSA-394-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;28/12/2005;29/09/2006;5207;Sim;Sim;24/02/2006;Petróleo
1-PSY-8-RN;POT-T-699;Potiguar;Maduras;RN;TERRA;Petrosynergy;06/09/2006;30/09/2006;1334;Não;Não;;
1-BRSA-442-BA;BT-REC-4;Recôncavo;Maduras;BA;TERRA;Petrobras;01/09/2006;18/10/2006;2858;Não;Sim;11/10/2006;Gás e Petróleo
1-BRSA-445D-ES;BT-ES-14;Espírito Santo;Maduras;ES;TERRA;Petrobras;05/09/2006;24/10/2006;2859;Não;Não;;
1-BRSA-457-RN;POT-T-257;Potiguar;Maduras;RN;TERRA;Petrobras;14/10/2006;26/10/2006;1060;Não;Não;;
1-PSY-7-RN;POT-T-528;Potiguar;Maduras;RN;TERRA;Petrosynergy;18/09/2006;27/10/2006;757;Não;Sim;25/10/2006;Petróleo
1-BRSA-329D-RJS;BM-S-10;Santos;Margem Leste;RJ;MAR;Petrobras;01/01/2005;28/10/2006;7628;Sim;Sim;20/07/2005;Gás
1-BRSA-447-BA;BT-REC-4;Recôncavo;Maduras;BA;TERRA;Petrobras;13/09/2006;30/10/2006;1860;Não;Sim;05/10/2006;Petróleo
1-BRSA-462-CE;POT-T-210;Potiguar;Maduras;CE;TERRA;Petrobras;03/11/2006;12/11/2006;822;Não;Não;;
4-PSY-9-RN;POT-T-523;Potiguar;Maduras;RN;TERRA;Petrosynergy;26/10/2006;12/11/2006;1238;Não;Não;;
4-BRSA-451-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;24/09/2006;19/11/2006;3414;Não;Sim;26/10/2006;Gás e Petróleo
4-BRSA-450-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;23/09/2006;20/11/2006;4911;Não;Sim;14/10/2006;Gás e Petróleo
1-PSY-10-RN;POT-T-523;Potiguar;Maduras;RN;TERRA;Petrosynergy;13/11/2006;24/11/2006;765;Não;Não;;
1-BRSA-459-SE;SEAL-T-367;Sergipe;Maduras;SE;TERRA;Petrobras;29/10/2006;27/11/2006;570;Não;Sim;26/11/2006;Petróleo
1-POTI-6-RN;BT-POT-10;Potiguar;Maduras;RN;TERRA;Potióleo;11/11/2006;28/11/2006;1643;Não;Não;;
1-BRSA-351D-RN;BT-POT-8;Potiguar;Maduras;RN;TERRA;Petrobras;03/06/2005;08/12/2006;2102;Não;Sim;03/07/2005;Petróleo
1-DEV-9-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;09/11/2006;10/12/2006;2498;Não;Sim;22/11/2006;Gás e Petróleo
1-PSY-11-RN;POT-T-524;Potiguar;Maduras;RN;TERRA;Petrosynergy;29/11/2006;14/12/2006;575;Não;Não;;
1-PSY-12-ES;ES-T-419;Espírito Santo;Maduras;ES;TERRA;Petrosynergy;02/12/2006;14/12/2006;90;Não;Sim;15/06/2007;Petróleo
1-BRSA-471-SE;SEAL-T-367;Sergipe;Maduras;SE;TERRA;Petrobras;18/12/2006;29/12/2006;780;Não;Não;;
4-BRSA-423D-RN;BT-POT-8;Potiguar;Maduras;RN;TERRA;Petrobras;19/05/2006;30/12/2006;2434;Não;Sim;03/06/2006;Petróleo
1-DEV-10-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;11/12/2006;09/01/2007;2590;Não;Não;;
1-QTR-3-RN;POT-T-562;Potiguar;Maduras;RN;TERRA;Quantra;23/12/2006;09/01/2007;1800;Não;Não;;
3-DEV-11DP-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;10/01/2007;19/01/2007;3000;Não;Não;;
1-QTR-4-RN;POT-T-607;Potiguar;Maduras;RN;TERRA;Quantra;12/01/2007;27/01/2007;1388;Não;Não;;
1-BRSA-456-RN;POT-T-700;Potiguar;Maduras;RN;TERRA;Petrobras;10/10/2006;31/01/2007;2650;Não;Sim;09/12/2006;Gás e Petróleo
3-BRSA-330-RN;BT-POT-4;Potiguar;Maduras;RN;TERRA;Petrobras;02/01/2005;31/01/2007;1176;Não;Sim;11/01/2005;Petróleo
3-DEV-12DP-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;21/01/2007;05/02/2007;3188;Não;Não;;
1-AURI-16-RN;POT-T-321;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;02/02/2007;11/02/2007;616;Não;Sim;10/02/2007;Petróleo
1-BRSA-458-ESS;BM-C-4;Campos;Margem Leste;ES;MAR;Petrobras;24/10/2006;21/02/2007;6249;Sim;Sim;16/01/2007;Petróleo
1-QG-3-BA;BT-REC-8;Recôncavo;Maduras;BA;TERRA;Constellation;07/01/2007;21/02/2007;2222;Não;Sim;26/02/2007;Gás e Petróleo
1-DEV-13-RJS;BM-C-8;Campos;Margem Leste;RJ;MAR;BP Energy;11/02/2007;26/02/2007;2200;Não;Não;;
1-QTR-5-RN;POT-T-485;Potiguar;Maduras;RN;TERRA;Quantra;16/02/2007;01/03/2007;1213;Não;Sim;27/02/2007;Petróleo
1-SHEL-21-RJS;BM-S-31;Santos;Margem Leste;RJ;MAR;Shell;05/03/2007;06/03/2007;944;Não;Não;;
1-BRSA-470D-BA;REC-T-221;Recôncavo;Maduras;BA;TERRA;Petrobras;17/12/2006;08/03/2007;1923;Não;Sim;06/02/2007;Petróleo
1-BRSA-478-ES;BT-ES-14;Espírito Santo;Maduras;ES;TERRA;Petrobras;08/02/2007;08/03/2007;2751;Não;Não;;
4-BRSA-446-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;10/09/2006;12/03/2007;4606;Sim;Sim;24/10/2006;Petróleo
4-BRSA-465-ESS;BES-100;Espírito Santo;Margem Leste;ES;MAR;Petrobras;24/11/2006;12/03/2007;4378;Não;Não;;
1-BRSA-463-ES;CCNS;Espírito Santo;Maduras;ES;TERRA;Petrobras;11/11/2006;13/03/2007;1289;Não;Sim;21/11/2006;Gás e Petróleo
1-AURI-17-RN;POT-T-404;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;09/03/2007;18/03/2007;855;Não;Não;;
1-BRSA-466-ES;ES-T-505;Espírito Santo;Maduras;ES;TERRA;Petrobras;28/11/2006;24/03/2007;978;Não;Não;;
4-BRSA-454-RJS;BS-500;Santos;Margem Leste;RJ;MAR;Petrobras;03/10/2006;26/03/2007;5403;Não;Sim;19/12/2006;Gás e Petróleo
1-BRSA-487-RN;POT-T-575;Potiguar;Maduras;RN;TERRA;Petrobras;23/03/2007;01/04/2007;612;Não;Não;;
1-AURI-18-RN;POT-T-403;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;26/03/2007;06/04/2007;796;Não;Não;;
3-PTX-9-RN;POT-T-557;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;04/04/2007;14/04/2007;450;Não;Sim;12/04/2007;Petróleo
1-BRSA-488-ES;ES-T-506;Espírito Santo;Maduras;ES;TERRA;Petrobras;30/03/2007;15/04/2007;1826;Não;Não;;
3-BRSA-483-AM;AZU;Amazonas;Nova Fronteira;AM;TERRA;Petrobras;04/03/2007;20/04/2007;2500;Não;Sim;22/04/2007;Gás e Petróleo
1-PTX-10-RN;POT-T-557;Potiguar;Maduras;RN;TERRA;Mandacaru Energia;17/04/2007;21/04/2007;770;Não;Não;;
1-AURI-19-RN;POT-T-393;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;14/04/2007;23/04/2007;149;Não;Não;;
3-BRSA-481-RJS;BC-2;Campos;Margem Leste;RJ;MAR;Petrobras;25/02/2007;04/05/2007;4275;Não;Sim;26/03/2007;Gás e Petróleo
4-BRSA-492-SE;SEAL-T-367;Sergipe;Maduras;SE;TERRA;Petrobras;19/04/2007;05/05/2007;750;Não;Sim;30/04/2007;Petróleo
1-GALP-1-RN;POT-T-478;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;08/04/2007;13/05/2007;1427;Não;Sim;07/05/2007;Petróleo
1-GALP-2-RN;POT-T-394;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;12/04/2007;16/05/2007;1570;Não;Sim;13/05/2007;Petróleo
1-GALP-3-RN;POT-T-556;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;22/05/2007;03/06/2007;744;Não;Não;;
1-AURI-20-RN;POT-T-392;Potiguar;Maduras;RN;TERRA;Aurizônia Petróleo;10/05/2007;07/06/2007;2244;Não;Não;;
1-BRSA-464D-AL;BT-SEAL-2;Alagoas;Maduras;AL;TERRA;Petrobras;10/11/2006;11/06/2007;4735;Não;Sim;05/06/2007;Gás
1-BRSA-495D-RN;BT-POT-9;Potiguar;Maduras;RN;TERRA;Petrobras;06/05/2007;16/06/2007;2505;Não;Não;;
4-BRSA-449-ESS;BC-60;Campos;Margem Leste;ES;MAR;Petrobras;22/09/2006;17/06/2007;4751;Sim;Sim;10/12/2006;Gás e Petróleo
1-GALP-4-RN;POT-T-355;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;23/05/2007;18/06/2007;1460;Não;Não;;
1-GALP-5-RN;POT-T-601;Potiguar;Maduras;RN;TERRA;Petrogal Brasil;09/06/2007;20/06/2007;971;Não;Não;;
3-BRSA-494-ES;ES-T-486;Espírito Santo;Maduras;ES;TERRA;Petrobras;04/05/2007;30/06/2007;1060;Não;Sim;11/05/2007;Petróleo
1-BRSA-433-ES;ES-T-516;Espírito Santo;Maduras;ES;TERRA;Petrobras;25/07/2006;23/07/2007;1740;Não;Sim;07/08/2006;Gás e Petróleo
1-BRSA-439-ES;ES-T-516;Espírito Santo;Maduras;ES;TERRA;Petrobras;13/08/2006;23/07/2007;1788;Não;Sim;31/08/2006;Petróleo
